id,lat,lng,name,company,line,railroadDivision,railroadCompanyClassification,duplicate2011,dataEorN2011,passengers2011,duplicate2012,dataEorN2012,passengers2012,duplicate2013,dataEorN2013,passengers2013,duplicate2014,dataEorN2014,passengers2014,duplicate2015,dataEorN2015,passengers2015,duplicate2016,dataEorN2016,passengers2016,duplicate2017,dataEorN2017,passengers2017
cv1,31.25405000,130.63035000,二月田,九州旅客鉄道,指宿枕崎線,11,2,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0,1,3,0
cv2,26.23035000,127.70279000,古島,沖縄都市モノレール,沖縄都市モノレール線,23,5,1,1,3907,1,1,3980,1,1,4572,1,1,4187,1,1,4648,1,1,4528,1,1,4819
cv3,35.62961000,139.77818000,お台場海浜公園,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,14612,1,1,16130,1,1,16357,1,1,16515,1,1,17537,1,1,17488,1,1,16944
cv4,35.62129000,139.77335000,船の科学館,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,3767,1,1,3235,1,1,3407,1,1,3782,1,1,3682,1,1,3682,1,1,3590
cv5,35.61791000,139.78001000,テレコムセンター,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,12112,1,1,12775,1,1,13366,1,1,14138,1,1,14069,1,1,14069,1,1,13744
cv6,35.66328000,139.76036000,汐留,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,6841,1,1,7617,1,1,7734,1,1,8273,1,1,8877,1,1,8877,1,1,9045
cv7,35.62568000,139.77103000,台場,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,17018,1,1,24583,1,1,23694,1,1,23809,1,1,24252,1,1,24252,1,1,23436
cv8,35.63482000,139.79313000,有明,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,4279,1,1,4953,1,1,5018,1,1,5226,1,1,5545,1,1,5545,1,1,5061
cv9,35.63059000,139.79200000,国際展示場正門,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,17468,1,1,18509,1,1,20573,1,1,19958,1,1,21943,1,1,20082,1,1,20916
cv10,35.66480000,139.76082000,新橋,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,54025,1,1,61995,1,1,63165,1,1,63973,1,1,66676,1,1,66676,1,1,64852
cv11,35.65378000,139.76179000,竹芝,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,4127,1,1,4133,1,1,4505,1,1,4752,1,1,4894,1,1,4894,1,1,5006
cv12,35.64249000,139.75786000,芝浦ふ頭,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,4793,1,1,4843,1,1,4720,1,1,4769,1,1,5102,1,1,5078,1,1,5308
cv13,35.64961000,139.75932000,日の出,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,2102,1,1,2288,1,1,2178,1,1,2181,1,1,2304,1,1,2304,1,1,2282
cv14,35.62447000,139.78072000,青海,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,5895,1,1,5543,1,1,5310,1,1,5348,1,1,5748,1,1,5683,1,1,5673
cv15,35.64853000,139.78985000,新豊洲,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,1302,1,1,1600,1,1,1860,1,1,2765,1,1,4522,1,1,4522,1,1,3924
cv16,35.64548000,139.78530000,市場前,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,49,1,1,113,1,1,156,1,1,583,1,1,2708,1,1,2708,1,1,2583
cv17,35.63971000,139.78913000,有明テニスの森,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,2925,1,1,3074,1,1,2964,1,1,3100,1,1,3237,1,1,3237,1,1,3942
cv18,35.65341000,139.79504000,豊洲,ゆりかもめ,東京臨海新交通臨海線,24,5,1,1,16060,1,1,17877,1,1,18796,1,1,20325,1,1,24003,1,1,24003,1,1,22518
cv19,34.68009000,135.64171000,新石切,近畿日本鉄道,けいはんな線,21,4,1,1,17162,1,1,17202,1,1,17202,1,1,17202,1,1,18030,1,1,18030,1,1,18030
cv20,34.67876000,135.59111000,長田,近畿日本鉄道,けいはんな線,21,4,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0
cv21,34.68036000,135.62343000,吉田,近畿日本鉄道,けいはんな線,21,4,1,1,14071,1,1,14252,1,1,14252,1,1,14252,1,1,15150,1,1,15150,1,1,15150
cv22,34.67863000,135.60452000,荒本,近畿日本鉄道,けいはんな線,21,4,1,1,14023,1,1,13605,1,1,13605,1,1,13605,1,1,14945,1,1,14945,1,1,14945
cv23,34.69295000,135.69688000,生駒,近畿日本鉄道,けいはんな線,12,4,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0
cv24,34.72632000,135.74832000,学研奈良登美ヶ丘,近畿日本鉄道,けいはんな線,12,4,1,1,11518,1,1,11967,1,1,11967,1,1,11967,1,1,13706,1,1,13706,1,1,13706
cv25,34.72076000,135.71636000,白庭台,近畿日本鉄道,けいはんな線,12,4,1,1,7519,1,1,8100,1,1,8100,1,1,8100,1,1,9076,1,1,9076,1,1,9076
cv26,34.72458000,135.72281000,学研北生駒,近畿日本鉄道,けいはんな線,12,4,1,1,5842,1,1,6108,1,1,6108,1,1,6108,1,1,6150,1,1,6150,1,1,6150
cv27,34.68177000,135.20213000,ポートターミナル,神戸新交通,ポートアイランド線,16,5,1,1,500,1,1,574,1,1,629,1,1,705,1,1,656,1,1,890,1,1,879
cv28,34.66956000,135.21700000,中埠頭,神戸新交通,ポートアイランド線,16,5,1,1,3400,1,1,3519,1,1,3284,1,1,3119,1,1,3173,1,1,2948,1,1,2961
cv29,34.66460000,135.21262000,市民広場,神戸新交通,ポートアイランド線,24,5,1,1,12100,1,1,12929,1,1,13317,1,1,13617,1,1,14864,1,1,14930,1,1,14880
cv30,34.68963000,135.19930000,貿易センター,神戸新交通,ポートアイランド線,24,5,1,1,2300,1,1,2424,1,1,2417,1,1,2511,1,1,2644,1,1,2834,1,1,3131
cv31,34.69430000,135.19510000,三宮,神戸新交通,ポートアイランド線,24,5,1,1,58300,1,1,59610,1,1,60963,1,1,62459,1,1,66812,1,1,70751,1,1,72700
